     N_val, Pi_estime,Pi_calcule,     ecart,     temps,     t_cpu, N_threads,   Version
30000,3.14159265358979,3.14159265368238,0.925819421127017E-010,0.470000000000000E-001,0.463900000000000E-001,1,1
30000,3.14159265358979,3.14159265368238,0.925890475400593E-010,0.310000000000000E-001,0.590030000000000E-001,2,1
30000,3.14159265358979,3.14159265368239,0.925939325213676E-010,0.220000000000000E-001,0.845860000000000E-001,4,1
30000,3.14159265358979,3.14159265368238,0.925903798076888E-010,0.190000000000000E-001,0.101522000000000,6,1
30000,3.14159265358979,3.14159265368238,0.925894916292691E-010,0.150000000000000E-001,0.983240000000000E-001,8,1
30000,3.14159265358979,3.14159265368239,0.925921561645282E-010,0.130000000000000E-001,0.118859000000000,10,1
300000,3.14159265358979,3.14159265359061,0.819344592173366E-012,0.376000000000000,0.375284000000000,1,1
300000,3.14159265358979,3.14159265359066,0.866418048417472E-012,0.212000000000000,0.415538000000000,2,1
300000,3.14159265358979,3.14159265359073,0.933919608314682E-012,0.109000000000000,0.432721000000000,4,1
300000,3.14159265358979,3.14159265359071,0.914823772291129E-012,0.800000000000000E-001,0.462572000000000,6,1
300000,3.14159265358979,3.14159265359071,0.920596932019180E-012,0.660000000000000E-001,0.505888000000000,8,1
300000,3.14159265358979,3.14159265359072,0.924593734907830E-012,0.570000000000000E-001,0.556247000000000,10,1
3000000,3.14159265358979,3.14159265358961,0.183408843668076E-012,3.64900000000000,3.64825700000000,1,1
3000000,3.14159265358979,3.14159265358976,0.284217094304040E-013,1.84100000000000,3.67881800000000,2,1
3000000,3.14159265358979,3.14159265358984,0.430766533554561E-013,0.944000000000000,3.77301300000000,4,1
3000000,3.14159265358979,3.14159265358979,0.444089209850063E-015,0.652000000000000,3.89575200000000,6,1
3000000,3.14159265358979,3.14159265358980,0.888178419700125E-014,0.533000000000000,4.10837800000000,8,1
3000000,3.14159265358979,3.14159265358980,0.976996261670138E-014,0.454000000000000,4.42582700000000,10,1
30000000,3.14159265358979,3.14159265358905,0.742961248079155E-012,36.6890000000000,36.6868600000000,1,1
30000000,3.14159265358979,3.14159265358934,0.453859172466764E-012,18.3420000000000,36.5149350000000,2,1
30000000,3.14159265358979,3.14159265358961,0.179856129989275E-012,9.63900000000000,38.1038740000000,4,1
30000000,3.14159265358979,3.14159265358984,0.475175454539567E-013,6.54500000000000,38.7100400000000,6,1
30000000,3.14159265358979,3.14159265358976,0.373034936274053E-013,5.15200000000000,40.1574940000000,8,1
30000000,3.14159265358979,3.14159265358982,0.257571741713036E-013,4.02000000000000,39.6454130000000,10,1
30000,3.14159265358979,3.14159265368238,0.925819421127017E-010,0.520000000000000E-001,0.521860000000000E-001,1,2
30000,3.14159265358979,3.14159265368240,0.926037024839843E-010,0.189000000000000,0.375429000000000,2,2
30000,3.14159265358979,3.14159265368240,0.926019261271449E-010,0.334000000000000,1.26307100000000,4,2
30000,3.14159265358979,3.14159265368239,0.925997056810957E-010,0.584000000000000,3.38491700000000,6,2
30000,3.14159265358979,3.14159265368237,0.925783893990229E-010,0.734000000000000,5.79121400000000,8,2
30000,3.14159265358979,3.14159265368240,0.926050347516139E-010,0.844000000000000,8.24161500000000,10,2
300000,3.14159265358979,3.14159265359061,0.819344592173366E-012,0.434000000000000,0.433991000000000,1,2
300000,3.14159265358979,3.14159265359067,0.878852546293274E-012,1.97800000000000,3.95333400000000,2,2
300000,3.14159265358979,3.14159265359068,0.889954776539525E-012,4.99400000000000,18.5873900000000,4,2
300000,3.14159265358979,3.14159265359063,0.840660874246169E-012,6.87100000000000,38.6677160000000,6,2
300000,3.14159265358979,3.14159265359070,0.903721542044877E-012,7.67500000000000,56.9440760000000,8,2
300000,3.14159265358979,3.14159265359072,0.927702359376781E-012,9.74200000000000,92.2810820000000,10,2
3000000,3.14159265358979,3.14159265358961,0.183408843668076E-012,4.24500000000000,4.24495800000000,1,2
3000000,3.14159265358979,3.14159265358963,0.164313007644523E-012,17.0740000000000,32.7539630000000,2,2
3000000,3.14159265358979,3.14159265358968,0.115907283770866E-012,58.0370000000000,224.976396000000,4,2
3000000,3.14159265358979,3.14159265358951,0.278443934575989E-012,80.3970000000000,462.702405000000,6,2
3000000,3.14159265358979,3.14159265359000,0.202060590481778E-012,90.9580000000000,701.877762000000,8,2
3000000,3.14159265358979,3.14159265359001,0.214939177567430E-012,95.4140000000000,919.934320000000,10,2
30000000,3.14159265358979,3.14159265358905,0.742961248079155E-012,41.9780000000000,41.9768560000000,1,2
30000000,3.14159265358979,3.14159265359019,0.397459842815806E-012,176.208000000000,338.296531000000,2,2
30000000,3.14159265358979,3.14159265358959,0.202948768901479E-012,527.717000000000,2005.34720100000,4,2
30000000,3.14159265358979,3.14159265359007,0.277555756156289E-012,777.669000000000,4076.46712100000,6,2
30000000,3.14159265358979,3.14159265358973,0.581756864903582E-013,994.554000000000,7721.18082500000,8,2
30000000,3.14159265358979,3.14159265358920,0.591082738310433E-012,1036.74000000000,10111.1542150000,10,2
30000,3.14159265358979,3.14159265368238,0.925819421127017E-010,0.460000000000000E-001,0.468470000000000E-001,1,3
30000,3.14159265358979,3.14159265368242,0.926263510336867E-010,0.175000000000000,0.348649000000000,2,3
30000,3.14159265358979,3.14159265368240,0.926103638221321E-010,0.294000000000000,1.16903900000000,4,3
30000,3.14159265358979,3.14159265368238,0.925886034508494E-010,0.362000000000000,2.15752700000000,6,3
30000,3.14159265358979,3.14159265368240,0.926081433760828E-010,0.370000000000000,2.94402900000000,8,3
30000,3.14159265358979,3.14159265368241,0.926156928926503E-010,0.302000000000000,2.98789700000000,10,3
300000,3.14159265358979,3.14159265359061,0.819344592173366E-012,0.366000000000000,0.365793000000000,1,3
300000,3.14159265358979,3.14159265359072,0.929922805426031E-012,1.29500000000000,2.58702500000000,2,3
300000,3.14159265358979,3.14159265359070,0.905941988094128E-012,2.10600000000000,7.99514800000000,4,3
300000,3.14159265358979,3.14159265359064,0.845101766344669E-012,3.62500000000000,20.5145130000000,6,3
300000,3.14159265358979,3.14159265359058,0.782485187755810E-012,2.31900000000000,17.3265790000000,8,3
300000,3.14159265358979,3.14159265359072,0.929034627006331E-012,3.50200000000000,33.8651850000000,10,3
3000000,3.14159265358979,3.14159265358961,0.183408843668076E-012,3.54700000000000,3.54654400000000,1,3
3000000,3.14159265358979,3.14159265358962,0.176747505520325E-012,9.10600000000000,16.9693930000000,2,3
3000000,3.14159265358979,3.14159265358975,0.470734562441066E-013,23.5740000000000,87.3099630000000,4,3
3000000,3.14159265358979,3.14159265358962,0.175415237890775E-012,25.5330000000000,140.490981000000,6,3
3000000,3.14159265358979,3.14159265358986,0.652811138479592E-013,33.2730000000000,254.400509000000,8,3
3000000,3.14159265358979,3.14159265358988,0.834887714518118E-013,25.2970000000000,236.088340000000,10,3
30000000,3.14159265358979,3.14159265358905,0.742961248079155E-012,35.5770000000000,35.5758280000000,1,3
30000000,3.14159265358979,3.14159265358926,0.532462962610225E-012,120.986000000000,230.269995000000,2,3
30000000,3.14159265358979,3.14159265359019,0.396571664396106E-012,282.055000000000,1072.42164100000,4,3
30000000,3.14159265358979,3.14159265358990,0.106137321154165E-012,385.867000000000,2229.64728600000,6,3
30000000,3.14159265358979,3.14159265358961,0.186961557346876E-012,255.590000000000,1938.33466200000,8,3
30000000,3.14159265358979,3.14159265359014,0.351274564991400E-012,236.060000000000,2205.76014000000,10,3
30000,3.14159265358979,3.14159218750000,0.466089792983126E-006,0.173000000000000,0.791560000000000E-001,1,4
30000,3.14159265358979,3.14159192708333,0.726506459436393E-006,0.166000000000000,0.638040000000000E-001,2,4
30000,3.14159265358979,3.14159153645833,0.111713145933834E-005,0.163000000000000,0.533650000000000E-001,4,4
30000,3.14159265358979,3.14159195963542,0.693954375741157E-006,0.167000000000000,0.518140000000000E-001,6,4
30000,3.14159265358979,3.14159189453125,0.759058543131630E-006,0.171000000000000,0.510580000000000E-001,8,4
30000,3.14159265358979,3.14159195963542,0.693954376629335E-006,0.177000000000000,0.501000000000000E-001,10,4
300000,3.14159265358979,3.14141583333333,0.176820256459820E-003,0.498000000000000,0.401023000000000,1,4
300000,3.14159265358979,3.14159156250000,0.109108979318151E-005,0.328000000000000,0.227399000000000,2,4
300000,3.14159265358979,3.14159270833333,0.547435399234075E-007,0.255000000000000,0.144816000000000,4,4
300000,3.14159265358979,3.14159197916667,0.674423126678647E-006,0.238000000000000,0.124077000000000,6,4
300000,3.14159265358979,3.14159135416667,0.129942312643294E-005,0.214000000000000,0.951410000000000E-001,8,4
300000,3.14159265358979,3.14159151041667,0.114317312638335E-005,0.220000000000000,0.944110000000000E-001,10,4
3000000,3.14159265358979,3.11628733333333,0.253053202564595E-001,3.72900000000000,3.63377300000000,1,4
3000000,3.14159265358979,3.13732350000000,0.426915358979318E-002,2.02900000000000,1.92913000000000,2,4
3000000,3.14159265358979,3.13976216666667,0.183048692312582E-002,1.09400000000000,0.987177000000000,4,4
3000000,3.14159265358979,3.14150783333333,0.848202564598388E-004,0.803000000000000,0.689646000000000,6,4
3000000,3.14159265358979,3.14135241666667,0.240236923126247E-003,0.659000000000000,0.539232000000000,8,4
3000000,3.14159265358979,3.14141625000000,0.176403589792873E-003,0.586000000000000,0.462367000000000,10,4
30000000,3.14159265358979,2.23696213333333,0.904630520256460,36.8380000000000,36.7398100000000,1,4
30000000,3.14159265358979,4.00000000000000,0.858407346410207,18.6880000000000,18.5850940000000,2,4
30000000,3.14159265358979,2.98946986666667,0.152122786923127,9.63000000000000,9.52342800000000,4,4
30000000,3.14159265358979,3.11804556666667,0.235470869231262E-001,6.62800000000000,6.51097100000000,6,4
30000000,3.14159265358979,3.12959763333333,0.119950202564598E-001,5.00000000000000,4.87926300000000,8,4
30000000,3.14159265358979,3.11628730000000,0.253053535897929E-001,4.16800000000000,4.04500000000000,10,4
30000,3.14159265358979,3.14159265368238,0.925819421127017E-010,0.760000000000000E-001,0.761900000000000E-001,1,5
30000,3.14159265358979,3.14159265368240,0.926045906624040E-010,0.193000000000000,0.385030000000000,2,5
30000,3.14159265358979,3.14159265368238,0.925886034508494E-010,0.247000000000000,0.979555000000000,4,5
30000,3.14159265358979,3.14159265368239,0.925926002537381E-010,0.265000000000000,1.57313200000000,6,5
30000,3.14159265358979,3.14159265368239,0.925926002537381E-010,0.241000000000000,1.91225100000000,8,5
30000,3.14159265358979,3.14159265368239,0.925934884321578E-010,0.236000000000000,2.34534500000000,10,5
300000,3.14159265358979,3.14159265359061,0.819344592173366E-012,0.680000000000000,0.680176000000000,1,5
300000,3.14159265358979,3.14159265359067,0.878408457083424E-012,1.85100000000000,3.70138800000000,2,5
300000,3.14159265358979,3.14159265359074,0.946354106190483E-012,2.56500000000000,10.2568640000000,4,5
300000,3.14159265358979,3.14159265359073,0.939692768042732E-012,2.47400000000000,14.8337170000000,6,5
300000,3.14159265358979,3.14159265359073,0.932143251475281E-012,2.52600000000000,20.1816910000000,8,5
300000,3.14159265358979,3.14159265359072,0.923261467278280E-012,2.36400000000000,23.6278530000000,10,5
3000000,3.14159265358979,3.14159265358961,0.183408843668076E-012,6.63400000000000,6.63365600000000,1,5
3000000,3.14159265358979,3.14159265358983,0.337507799486048E-013,19.0520000000000,38.1009730000000,2,5
3000000,3.14159265358979,3.14159265358987,0.746069872548105E-013,23.2170000000000,92.8630110000000,4,5
3000000,3.14159265358979,3.14159265358982,0.262012633811537E-013,25.4190000000000,152.496636000000,6,5
3000000,3.14159265358979,3.14159265358983,0.355271367880050E-013,24.5990000000000,196.772078000000,8,5
3000000,3.14159265358979,3.14159265358982,0.306421554796543E-013,24.4890000000000,244.868476000000,10,5
30000000,3.14159265358979,3.14159265358905,0.742961248079155E-012,66.0530000000000,66.0506970000000,1,5
30000000,3.14159265358979,3.14159265358970,0.963673585374636E-013,186.885000000000,373.755241000000,2,5
30000000,3.14159265358979,3.14159265358978,0.124344978758018E-013,244.193000000000,976.722920000000,4,5
30000000,3.14159265358979,3.14159265358981,0.213162820728030E-013,257.528000000000,1545.09174000000,6,5
30000000,3.14159265358979,3.14159265358993,0.138111744263369E-012,242.697000000000,1941.46983700000,8,5
30000000,3.14159265358979,3.14159265358988,0.865973959207622E-013,250.121000000000,2501.07016400000,10,5
30000,3.14159265358979,3.14159265368238,0.925819421127017E-010,0.480000000000000E-001,0.473860000000000E-001,1,6
30000,3.14159265358979,3.14159265368238,0.925890475400593E-010,0.310000000000000E-001,0.627610000000000E-001,2,6
30000,3.14159265358979,3.14159265368238,0.925894916292691E-010,0.210000000000000E-001,0.833460000000000E-001,4,6
30000,3.14159265358979,3.14159265368238,0.925877152724297E-010,0.150000000000000E-001,0.825750000000000E-001,6,6
30000,3.14159265358979,3.14159265368238,0.925917120753184E-010,0.130000000000000E-001,0.793670000000000E-001,8,6
30000,3.14159265358979,3.14159265368239,0.925939325213676E-010,0.120000000000000E-001,0.893430000000000E-001,10,6
300000,3.14159265358979,3.14159265359061,0.819344592173366E-012,0.375000000000000,0.375269000000000,1,6
300000,3.14159265358979,3.14159265359066,0.866418048417472E-012,0.203000000000000,0.397207000000000,2,6
300000,3.14159265358979,3.14159265359072,0.928590537796481E-012,0.104000000000000,0.406834000000000,4,6
300000,3.14159265358979,3.14159265359070,0.911271058612328E-012,0.770000000000000E-001,0.449846000000000,6,6
300000,3.14159265358979,3.14159265359071,0.918820575179780E-012,0.610000000000000E-001,0.478523000000000,8,6
300000,3.14159265358979,3.14159265359072,0.924593734907830E-012,0.550000000000000E-001,0.524153000000000,10,6
3000000,3.14159265358979,3.14159265358961,0.183408843668076E-012,3.63600000000000,3.63569700000000,1,6
3000000,3.14159265358979,3.14159265358977,0.239808173319034E-013,1.84100000000000,3.67966100000000,2,6
3000000,3.14159265358979,3.14159265358978,0.119904086659517E-013,0.954000000000000,3.78167300000000,4,6
3000000,3.14159265358979,3.14159265358983,0.386357612569554E-013,0.648000000000000,3.85600400000000,6,6
3000000,3.14159265358979,3.14159265358980,0.976996261670138E-014,0.526000000000000,4.17211300000000,8,6
3000000,3.14159265358979,3.14159265358980,0.355271367880050E-014,0.403000000000000,4.02454000000000,10,6
30000000,3.14159265358979,3.14159265358905,0.742961248079155E-012,36.4850000000000,36.4837980000000,1,6
30000000,3.14159265358979,3.14159265358934,0.453859172466764E-012,18.5790000000000,37.0255400000000,2,6
30000000,3.14159265358979,3.14159265358968,0.108357767203415E-012,9.32100000000000,37.2068740000000,4,6
30000000,3.14159265358979,3.14159265358989,0.919264664389630E-013,6.24500000000000,37.4544690000000,6,6
30000000,3.14159265358979,3.14159265358991,0.111910480882216E-012,4.84500000000000,38.6687640000000,8,6
30000000,3.14159265358979,3.14159265358983,0.386357612569554E-013,3.91200000000000,39.1036330000000,10,6
30000,3.14159265358979,3.14159265368239,0.925926002537381E-010,0.110000000000000E-001,0.115302000000000,16,1
300000,3.14159265358979,3.14159265359072,0.923705556488130E-012,0.400000000000000E-001,0.614664000000000,16,1
3000000,3.14159265358979,3.14159265358981,0.217603712826531E-013,0.316000000000000,4.85627600000000,16,1
30000000,3.14159265358979,3.14159265358978,0.150990331349021E-013,2.73100000000000,43.4119840000000,16,1
30000,3.14159265358979,3.14159265368240,0.926037024839843E-010,1.29600000000000,20.4578550000000,16,2
300000,3.14159265358979,3.14159265359064,0.849986747653020E-012,12.1950000000000,182.529461000000,16,2
3000000,3.14159265358979,3.14159265358989,0.959232693276135E-013,131.971000000000,2046.22493600000,16,2
30000000,3.14159265358979,3.14159265358966,0.130118138486068E-012,1340.56700000000,20695.4553450000,16,2
30000,3.14159265358979,3.14159265368239,0.926010379487252E-010,0.300000000000000,4.77485700000000,16,3
300000,3.14159265358979,3.14159265359062,0.830446822419617E-012,3.54800000000000,54.0483110000000,16,3
3000000,3.14159265358979,3.14159265358991,0.118127729820117E-012,36.3590000000000,533.014345000000,16,3
30000000,3.14159265358979,3.14159265358986,0.675015598972095E-013,303.748000000000,4667.33106500000,16,3
30000,3.14159265358979,3.14159256184896,0.917408344847104E-007,0.205000000000000,0.617280000000000E-001,16,4
300000,3.14159265358979,3.14159227864583,0.374943959435825E-006,0.236000000000000,0.961920000000000E-001,16,4
3000000,3.14159265358979,3.14137583333333,0.216820256459194E-003,0.490000000000000,0.339775000000000,16,4
30000000,3.14159265358979,3.14016713333333,0.142552025645992E-002,2.94400000000000,2.80639600000000,16,4
30000,3.14159265358979,3.14159265368238,0.925912679861085E-010,0.239000000000000,3.81426900000000,16,5
300000,3.14159265358979,3.14159265359072,0.922373288858580E-012,2.24100000000000,35.8183750000000,16,5
3000000,3.14159265358979,3.14159265358982,0.306421554796543E-013,22.5910000000000,361.420881000000,16,5
30000000,3.14159265358979,3.14159265358975,0.421884749357559E-013,216.394000000000,3462.15164700000,16,5
30000,3.14159265358979,3.14159265368239,0.925921561645282E-010,0.130000000000000E-001,0.162469000000000,16,6
300000,3.14159265358979,3.14159265359071,0.919708753599480E-012,0.420000000000000E-001,0.643956000000000,16,6
3000000,3.14159265358979,3.14159265358981,0.217603712826531E-013,0.294000000000000,4.58761400000000,16,6
30000000,3.14159265358979,3.14159265358979,0.666133814775094E-014,2.68700000000000,42.9812190000000,16,6
